Date,Open,High,Low,Close,Adj Close,Volume
2017-02-22,18.350000,18.360001,18.059999,18.155001,17.007603,1527534
2017-02-23,18.174999,18.209999,18.035000,18.195000,17.045074,1270344
2017-02-24,18.209999,18.275000,18.045000,18.180000,17.031023,710743
2017-02-27,18.190001,18.195000,17.955000,18.105000,16.960762,898920
2017-02-28,18.105000,18.375000,18.059999,18.375000,17.213697,1331245
2017-03-01,18.434999,18.469999,18.334999,18.379999,17.218382,1057212
2017-03-02,18.400000,18.590000,18.285000,18.540001,17.368273,1738749
2017-03-03,18.540001,18.680000,18.455000,18.615000,17.438530,1922032
2017-03-06,18.525000,18.639999,18.495001,18.565001,17.391691,1039641
2017-03-07,18.540001,18.565001,18.430000,18.565001,17.391691,1492840
2017-03-08,18.424999,18.635000,18.410000,18.520000,17.349537,929526
2017-03-09,18.500000,18.625000,18.410000,18.615000,17.438530,759295
2017-03-10,18.645000,18.645000,18.450001,18.465000,17.298010,805246
2017-03-13,18.510000,18.570000,18.395000,18.570000,17.396374,841752
2017-03-14,18.540001,18.650000,18.410000,18.445000,17.279274,1445630
2017-03-15,18.475000,18.540001,18.410000,18.500000,17.330797,2218533
2017-03-16,18.660000,18.915001,18.645000,18.860001,17.668045,2242355
2017-03-17,18.855000,19.155001,18.680000,19.155001,17.944403,2751021
2017-03-20,19.115000,19.235001,19.059999,19.225000,18.009979,769999
2017-03-21,19.245001,19.285000,19.075001,19.139999,17.930349,1147861
2017-03-22,19.049999,19.445000,19.020000,19.385000,18.159866,2203583
2017-03-23,19.379999,19.745001,19.299999,19.709999,18.464325,1610325
2017-03-24,19.750000,19.975000,19.625000,19.825001,18.572060,2090346
2017-03-27,19.799999,19.945000,19.700001,19.945000,18.684473,1421025
2017-03-28,20.100000,20.510000,20.070000,20.180000,18.904623,4406247
2017-03-29,20.174999,20.250000,19.969999,20.145000,18.871836,1483878
2017-03-30,20.110001,20.215000,20.075001,20.215000,18.937410,664481
2017-03-31,20.215000,20.540001,20.190001,20.540001,19.241871,1519435
2017-04-03,20.540001,20.629999,20.260000,20.299999,19.017038,2446246
2017-04-04,20.264999,20.340000,20.135000,20.254999,18.974882,1796952
2017-04-05,20.235001,20.475000,20.205000,20.389999,19.101351,1442990
2017-04-06,20.250000,20.650000,20.250000,20.575001,19.274660,1802949
2017-04-07,20.424999,20.549999,20.299999,20.430000,19.138821,1233215
2017-04-10,20.430000,20.510000,20.240000,20.270000,18.988935,1151417
2017-04-11,20.200001,20.290001,20.049999,20.225000,18.946779,1009087
2017-04-12,20.240000,20.309999,20.120001,20.219999,18.942095,862401
2017-04-13,20.254999,20.254999,20.070000,20.150000,18.876520,989237
2017-04-18,20.184999,20.230000,19.969999,20.010000,18.745367,1410680
2017-04-19,19.980000,20.155001,19.750000,20.049999,18.782839,3329310
2017-04-20,20.100000,20.325001,20.004999,20.004999,18.740681,1358743
2017-04-21,20.299999,20.299999,20.010000,20.084999,18.815626,1781419
2017-04-24,20.504999,21.150000,20.504999,21.120001,19.785215,2350599
2017-04-25,21.150000,21.150000,20.900000,20.965000,19.640011,1438612
2017-04-26,20.840000,20.955000,20.705000,20.719999,19.410494,966081
2017-04-27,20.815001,20.915001,20.690001,20.850000,19.532280,1692620
2017-04-28,20.549999,20.790001,20.350000,20.760000,19.447968,2397752
2017-05-02,20.730000,20.924999,20.590000,20.770000,19.457335,2599176
2017-05-03,20.740000,20.775000,20.565001,20.635000,19.330868,1788077
2017-05-04,20.764999,21.055000,20.660000,21.055000,19.724321,1784274
2017-05-05,21.059999,21.150000,20.795000,21.049999,19.719639,1524479
2017-05-08,21.150000,21.170000,20.910000,20.940001,19.616592,1208748
2017-05-09,20.855000,20.980000,20.750000,20.895000,19.574434,1668154
2017-05-10,20.895000,20.985001,20.799999,20.910000,19.588488,967257
2017-05-11,20.959999,20.959999,20.379999,20.465000,19.171610,1859847
2017-05-12,20.600000,21.135000,20.594999,21.004999,19.677483,2235302
2017-05-15,21.240000,21.530001,21.240000,21.525000,20.164619,1466280
2017-05-16,21.549999,21.750000,21.434999,21.750000,20.375397,1747025
2017-05-17,21.645000,21.780001,21.545000,21.650000,20.281719,1149185
2017-05-18,21.530001,21.660000,21.155001,21.469999,20.113094,2116402
2017-05-19,21.299999,21.725000,21.200001,21.650000,20.281719,1549573
2017-05-22,21.670000,21.700001,21.559999,21.645000,20.277035,1074925
2017-05-23,21.629999,21.969999,21.555000,21.969999,20.581493,851020
2017-05-24,21.980000,21.990000,21.805000,21.840000,20.459711,531708
2017-05-25,22.000000,22.105000,21.855000,22.065001,20.670492,1134382
2017-05-26,22.070000,22.070000,21.745001,21.820000,20.440973,1043665
2017-05-29,21.799999,21.990000,21.785000,21.975000,20.586178,813496
2017-05-30,21.815001,22.120001,21.760000,22.120001,20.722015,2099758
2017-05-31,22.070000,22.455000,22.004999,22.420000,21.003056,1848250
2017-06-01,22.410000,22.495001,22.080000,22.245001,20.839115,1314738
2017-06-02,22.315001,22.400000,22.139999,22.184999,20.782906,920040
2017-06-05,22.000000,22.184999,21.799999,22.040001,20.647070,856049
2017-06-06,22.020000,22.219999,21.934999,22.205000,20.801643,1021481
2017-06-07,22.165001,22.270000,21.924999,22.090000,20.693911,874230
2017-06-08,22.195000,22.264999,22.004999,22.094999,20.698593,2215074
2017-06-09,22.125000,22.264999,21.885000,21.950001,20.562759,1426183
2017-06-12,21.945000,21.945000,21.594999,21.594999,20.230192,1499359
2017-06-13,21.645000,21.820000,21.500000,21.500000,20.141199,2099182
2017-06-14,21.475000,21.775000,21.469999,21.635000,20.267668,4362148
2017-06-15,21.650000,21.684999,21.450001,21.684999,20.314507,1150171
2017-06-16,21.805000,22.090000,21.754999,22.004999,20.614281,15159566
2017-06-19,22.170000,22.240000,21.905001,21.905001,20.520601,8608826
2017-06-20,21.990000,22.070000,21.780001,21.780001,20.403502,7417820
2017-06-21,21.809999,21.895000,21.610001,21.815001,20.436291,14479239
2017-06-22,21.865000,21.975000,21.770000,21.910000,20.525286,1424624
2017-06-23,21.270000,21.290001,20.684999,21.065001,20.356174,13111862
2017-06-26,21.065001,21.344999,20.950001,21.230000,20.515621,4538775
2017-06-27,21.180000,21.215000,20.850000,20.850000,20.148411,7999113
2017-06-28,20.750000,21.184999,20.635000,21.049999,20.341679,11083015
2017-06-29,21.059999,21.120001,20.615000,20.750000,20.051775,1223206
2017-06-30,20.715000,20.879999,20.490000,20.490000,19.800524,2068392
2017-07-03,20.400000,20.639999,20.370001,20.545000,19.853672,5696773
2017-07-04,20.455000,20.504999,20.389999,20.430000,19.742542,2486331
2017-07-05,20.389999,20.450001,20.254999,20.350000,19.665234,1569707
2017-07-06,20.395000,20.405001,20.070000,20.299999,19.616917,2400291
2017-07-07,20.209999,20.320000,20.150000,20.290001,19.607254,1232843
2017-07-10,20.315001,20.430000,20.240000,20.365000,19.679729,969330
2017-07-11,20.370001,20.549999,20.285000,20.430000,19.742542,940109
2017-07-12,20.525000,20.844999,20.400000,20.770000,20.071102,1683062
2017-07-13,20.870001,20.889999,20.735001,20.850000,20.148411,973280
2017-07-14,20.865000,20.950001,20.660000,20.950001,20.245045,1110378
2017-07-17,20.820000,20.889999,20.270000,20.270000,19.587927,1544361
2017-07-18,20.270000,20.430000,20.240000,20.254999,19.573429,1543944
2017-07-19,20.254999,20.490000,20.219999,20.389999,19.703888,1040205
2017-07-20,20.295000,20.415001,20.025000,20.115000,19.438143,1854345
2017-07-21,20.065001,20.209999,19.900000,19.975000,19.302853,1517572
2017-07-24,19.975000,20.084999,19.750000,19.895000,19.225546,807209
2017-07-25,19.940001,20.160000,19.770000,19.770000,19.426989,948905
2017-07-26,19.655001,20.139999,19.559999,19.969999,19.623518,1938930
2017-07-27,19.820000,19.985001,19.745001,19.745001,19.402422,1118065
2017-07-28,19.709999,19.764999,19.350000,19.370001,19.033928,1412860
2017-07-31,19.445000,19.980000,19.445000,19.790001,19.446642,2004012
2017-08-01,19.924999,20.080000,19.834999,20.049999,19.702129,940176
2017-08-02,20.070000,20.150000,19.910000,19.969999,19.623518,606704
2017-08-03,19.924999,20.059999,19.795000,19.980000,19.633345,687171
2017-08-04,20.135000,20.469999,20.135000,20.365000,20.011663,1658461
2017-08-07,20.424999,20.430000,20.129999,20.295000,19.942879,710824
2017-08-08,20.295000,20.469999,20.245001,20.469999,20.114841,887757
2017-08-09,20.445000,20.445000,20.150000,20.355000,20.001837,594362
2017-08-10,20.340000,20.434999,20.150000,20.215000,19.864267,1537772
2017-08-11,20.195000,20.205000,19.955000,19.995001,19.648085,839147
2017-08-14,20.025000,20.365000,20.014999,20.315001,19.962532,1565457
2017-08-15,20.375000,20.465000,20.219999,20.270000,19.918314,536378
2017-08-16,20.285000,20.420000,20.285000,20.290001,19.937967,591874
2017-08-17,20.280001,20.530001,20.280001,20.395000,20.041145,805924
2017-08-18,20.170000,20.309999,20.135000,20.285000,19.933052,528575
2017-08-21,20.285000,20.330000,20.195000,20.254999,19.903572,796012
2017-08-22,20.330000,20.355000,20.195000,20.270000,19.918314,387168
2017-08-23,20.309999,20.395000,20.200001,20.260000,19.908487,435168
2017-08-24,20.299999,20.415001,20.245001,20.330000,19.977272,426757
2017-08-25,20.350000,20.370001,20.209999,20.219999,19.869179,371574
2017-08-28,20.160000,20.230000,20.100000,20.110001,19.761089,361127
2017-08-29,20.049999,20.125000,19.870001,20.080000,19.731609,631325
2017-08-30,20.135000,20.379999,20.080000,20.299999,19.947792,865401
2017-08-31,20.340000,20.440001,20.260000,20.420000,20.065710,1215910
2017-09-01,20.424999,20.540001,20.379999,20.420000,20.065710,689946
2017-09-04,20.355000,20.379999,20.245001,20.299999,19.947792,878149
2017-09-05,20.295000,20.379999,20.245001,20.254999,19.903572,1297826
2017-09-06,20.174999,20.320000,20.110001,20.309999,19.957619,1026615
2017-09-07,20.350000,20.385000,20.170000,20.170000,19.820047,7199126
2017-09-08,20.235001,20.250000,19.920000,19.980000,19.633345,1205626
2017-09-11,20.049999,20.290001,20.025000,20.190001,19.839701,2084001
2017-09-12,20.260000,20.360001,20.110001,20.110001,19.761089,1107816
2017-09-13,20.049999,20.184999,19.969999,19.985001,19.638258,2484293
2017-09-14,19.930000,19.955000,19.334999,19.355000,19.019188,1634378
2017-09-15,19.315001,19.540001,19.205000,19.370001,19.033928,2152832
2017-09-18,19.475000,19.594999,19.250000,19.260000,18.925837,2544715
2017-09-19,19.250000,19.445000,19.165001,19.280001,18.945490,17759589
2017-09-20,19.250000,19.264999,19.100000,19.184999,18.852137,24086135
2017-09-21,19.160000,19.160000,18.930000,19.030001,18.699827,1172601
2017-09-22,19.040001,19.055000,18.930000,19.020000,18.690001,4366619
2017-09-25,18.709999,18.795000,18.559999,18.785000,18.785000,861220
2017-09-26,18.745001,18.820000,18.660000,18.790001,18.790001,21533450
2017-09-27,18.764999,18.805000,18.700001,18.760000,18.760000,16970265
2017-09-28,18.760000,18.830000,18.594999,18.695000,18.695000,1162235
2017-09-29,18.709999,18.790001,18.594999,18.730000,18.730000,1699535
2017-10-02,18.565001,18.650000,18.410000,18.555000,18.555000,3356510
2017-10-03,18.504999,18.520000,18.235001,18.420000,18.420000,1098931
2017-10-04,18.264999,18.305000,17.850000,17.990000,17.990000,3752372
2017-10-05,17.959999,18.485001,17.900000,18.405001,18.405001,2264798
2017-10-06,18.475000,18.565001,18.150000,18.305000,18.305000,2433054
2017-10-09,18.410000,18.610001,18.410000,18.510000,18.510000,1406926
2017-10-10,18.495001,18.514999,18.355000,18.400000,18.400000,1007331
2017-10-11,18.575001,18.770000,18.565001,18.695000,18.695000,1560560
2017-10-12,18.670000,18.740000,18.475000,18.559999,18.559999,1516183
2017-10-13,18.650000,18.825001,18.570000,18.764999,18.764999,970429
2017-10-16,18.770000,18.770000,18.555000,18.629999,18.629999,929979
2017-10-17,18.559999,18.615000,18.520000,18.540001,18.540001,1864146
2017-10-18,18.620001,18.625000,18.465000,18.545000,18.545000,1479801
2017-10-19,18.510000,18.620001,18.420000,18.450001,18.450001,1706641
2017-10-20,18.500000,18.555000,18.360001,18.410000,18.410000,1470423
2017-10-23,18.355000,18.520000,18.309999,18.415001,18.415001,1235480
2017-10-24,18.400000,18.580000,18.365000,18.389999,18.389999,1567098
2017-10-25,18.400000,18.410000,18.209999,18.270000,18.270000,1290950
2017-10-26,18.230000,18.540001,17.915001,18.370001,18.370001,2845027
2017-10-27,18.430000,18.559999,18.139999,18.200001,18.200001,1392756
2017-10-30,18.250000,18.379999,18.084999,18.275000,18.275000,1804184
2017-10-31,18.365000,18.510000,18.330000,18.370001,18.370001,1618578
2017-11-01,18.485001,18.525000,18.290001,18.379999,18.379999,1642166
2017-11-02,18.389999,18.559999,18.299999,18.400000,18.400000,1265963
2017-11-03,18.475000,18.475000,18.040001,18.139999,18.139999,1357363
2017-11-06,18.190001,18.205000,17.959999,18.105000,18.105000,1213952
2017-11-07,18.090000,18.260000,17.855000,18.000000,18.000000,3102624
2017-11-08,18.100000,18.200001,17.965000,18.150000,18.150000,2199973
2017-11-09,18.170000,18.170000,17.969999,18.145000,18.145000,1876236
2017-11-10,18.129999,18.205000,17.945000,18.190001,18.190001,2021817
2017-11-13,18.299999,18.480000,18.135000,18.290001,18.290001,1980767
2017-11-14,18.334999,18.445000,18.225000,18.264999,18.264999,948477
2017-11-15,18.165001,18.230000,17.985001,18.045000,18.045000,1467551
2017-11-16,18.129999,18.340000,18.080000,18.094999,18.094999,1247665
2017-11-17,18.125000,18.155001,17.915001,17.959999,17.959999,1784742
2017-11-20,17.959999,18.105000,17.879999,17.959999,17.959999,1402450
2017-11-21,17.920000,18.090000,17.905001,17.950001,17.950001,1010397
2017-11-22,17.985001,18.285000,17.985001,18.240000,18.240000,1503793
2017-11-23,18.170000,18.320000,18.030001,18.250000,18.250000,1450942
2017-11-24,18.250000,18.370001,18.200001,18.200001,18.200001,828569
2017-11-27,18.215000,18.485001,18.155001,18.445000,18.445000,949126
2017-11-28,18.420000,18.764999,18.309999,18.700001,18.700001,1350064
2017-11-29,18.740000,19.030001,18.709999,18.850000,18.850000,1851238
2017-11-30,18.889999,19.040001,18.754999,18.780001,18.780001,1432676
2017-12-01,18.785000,18.844999,18.600000,18.635000,18.635000,1467104
2017-12-04,18.754999,18.754999,18.434999,18.590000,18.590000,1415752
2017-12-05,18.665001,19.350000,18.545000,19.184999,19.184999,2258745
2017-12-06,19.200001,19.330000,19.014999,19.270000,19.270000,1378760
2017-12-07,19.340000,19.504999,19.250000,19.475000,19.475000,1764580
2017-12-08,19.549999,19.620001,19.360001,19.510000,19.510000,1061244
2017-12-11,19.650000,19.650000,19.370001,19.490000,19.490000,801813
2017-12-12,19.520000,19.770000,19.430000,19.650000,19.650000,1580412
2017-12-13,19.695000,19.719999,19.205000,19.205000,19.205000,3248004
2017-12-14,19.215000,19.360001,18.985001,18.985001,18.985001,1652565
2017-12-15,18.934999,19.180000,18.924999,19.160000,19.160000,2301287
2017-12-18,19.195000,19.295000,19.170000,19.209999,19.209999,1652594
2017-12-19,19.400000,19.540001,19.215000,19.290001,19.290001,1441494
2017-12-20,19.315001,19.340000,19.145000,19.250000,19.250000,1501343
2017-12-21,19.254999,19.340000,19.100000,19.299999,19.299999,1080797
2017-12-22,19.100000,19.385000,19.059999,19.240000,19.240000,833797
2017-12-27,19.230000,19.389999,19.209999,19.299999,19.299999,773643
2017-12-28,19.299999,19.365000,19.180000,19.250000,19.250000,835691
2017-12-29,19.295000,19.340000,19.219999,19.250000,19.250000,1006025
